Trajectories
200
,,Flo:lshoulder,,,Flo:rshoulder,,,Flo:elbow,,,Flo:wrist,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
55,0,-154.831,119.789,64.0068,218.971,103.701,14.6732,528.969,199.682,5.17241,788.749,211.865,16.5066
56,0,-154.813,119.796,63.9388,218.945,103.624,14.7027,528.918,199.676,5.24286,788.751,211.866,16.4909
57,0,-154.837,119.765,63.9719,218.935,103.653,14.7607,528.913,199.673,5.26293,788.752,211.866,16.4914
58,0,-154.897,119.779,63.9216,218.937,103.687,14.7666,528.918,199.694,5.28857,788.751,211.866,16.4944
59,0,-154.897,119.754,63.9006,218.944,103.691,14.7474,528.915,199.674,5.26135,788.734,211.824,16.5145
60,0,-154.897,119.78,63.908,218.95,103.693,14.7324,528.916,199.675,5.25216,788.733,211.821,16.5236
61,0,-154.93,119.784,63.9199,218.951,103.693,14.7284,528.932,199.732,5.25814,788.733,211.822,16.5222
62,0,-154.958,119.798,63.8472,218.95,103.693,14.731,528.932,199.734,5.2582,788.75,211.864,16.5009
63,0,-154.951,119.826,63.8464,218.956,103.734,14.7463,528.932,199.733,5.25869,788.752,211.867,16.491
64,0,-154.95,119.826,63.8535,218.884,103.731,14.8217,528.932,199.733,5.25893,788.735,211.825,16.5115
65,0,-154.978,119.849,63.8352,218.864,103.761,14.8983,528.941,199.717,5.3274,788.749,211.863,16.5046
66,0,-154.973,119.904,63.8523,218.868,103.793,14.9022,528.938,199.736,5.34529,788.751,211.867,16.4949
67,0,-154.992,119.897,63.925,218.878,103.799,14.8742,528.886,199.731,5.41197,788.751,211.866,16.4937
68,0,-155.008,119.983,63.8581,218.903,103.829,14.7134,528.936,199.756,5.38718,788.815,211.873,16.4207
69,0,-154.996,120.037,63.8205,218.869,103.841,14.6786,528.904,199.789,5.41561,788.757,211.87,16.4669
70,0,-155.029,120.067,63.8343,218.868,103.91,14.7166,528.902,199.809,5.4575,788.749,211.866,16.4997
71,0,-155.019,120.113,63.8289,218.86,103.908,14.7434,528.902,199.808,5.46423,788.812,211.891,16.4737
72,0,-155.012,120.168,63.8497,218.838,103.878,14.8941,528.913,199.867,5.43534,788.77,211.929,16.5109
73,0,-155.007,120.19,63.8228,218.819,103.936,14.9898,528.899,199.9,5.4223,788.763,211.941,16.4839
74,0,-155.02,120.236,63.905,218.823,103.98,15.0097,528.837,199.909,5.42664,788.755,211.956,16.4101
75,0,-155.043,120.312,63.9273,218.832,103.985,14.986,528.844,199.967,5.4057,788.757,211.959,16.3885
76,0,-155.036,120.341,63.9405,218.856,104.062,14.9598,528.832,200,5.39482,788.756,211.976,16.3695
77,0,-155.036,120.341,63.9392,218.865,104.07,14.9379,528.831,200,5.39506,788.745,211.99,16.3106
78,0,-155.025,120.415,63.9329,218.855,104.084,15.0877,528.834,200.051,5.30379,788.745,212.011,16.3382
79,0,-155.025,120.418,63.9299,218.825,104.1,15.1825,528.837,200.057,5.27731,788.759,212.064,16.2906
80,0,-155.014,120.491,63.924,218.825,104.138,15.2121,528.817,200.064,5.2506,788.762,212.069,16.2666
81,0,-154.981,120.491,63.9124,218.84,104.175,15.1782,528.816,200.065,5.24948,788.762,212.068,16.2678
82,0,-154.973,120.516,63.928,218.926,104.186,15.0684,528.831,200.144,5.25612,788.751,212.08,16.2159
83,0,-154.943,120.523,63.9756,218.965,104.24,15.0003,528.901,200.147,5.21555,788.763,212.07,16.2539
84,0,-154.943,120.549,63.9922,218.961,104.252,15.1105,528.89,200.176,5.20177,788.763,212.048,16.2304
85,0,-154.944,120.55,63.9883,218.924,104.235,15.2156,528.887,200.177,5.20373,788.752,212.081,16.2062
86,0,-154.937,120.576,64.0026,218.906,104.226,15.26,528.899,200.234,5.18013,788.762,212.084,16.21
87,0,-154.905,120.575,63.9964,218.908,104.227,15.2543,528.891,200.254,5.10239,788.752,212.077,16.1119
88,0,-154.877,120.56,64.0687,218.987,104.235,15.1611,528.891,200.257,5.08686,788.754,212.1,16.1237
89,0,-154.877,120.557,64.0854,219.026,104.29,15.0929,528.894,200.276,5.12344,788.751,212.115,16.1193
90,0,-154.844,120.555,64.074,219.033,104.296,15.0729,528.887,200.319,5.07628,788.815,212.124,16.0416
91,0,-154.857,120.566,64.0108,219.036,104.325,15.0719,528.939,200.331,4.98699,788.838,212.169,15.9937
92,0,-154.832,120.538,63.9724,219.035,104.326,15.0756,528.893,200.326,5.04062,788.838,212.171,15.9889
93,0,-154.829,120.51,63.9633,219.104,104.328,15.0093,528.925,200.324,4.89845,788.851,212.243,15.9774
94,0,-154.771,120.492,64.0338,219.13,104.338,14.9467,528.934,200.33,4.85116,788.841,212.26,15.9129
95,0,-154.782,120.443,64.0614,219.135,104.34,14.9273,528.932,200.331,4.8585,788.779,212.255,15.9682
96,0,-154.782,120.442,64.0625,219.122,104.305,14.9529,528.913,200.337,4.83385,788.772,212.25,16.0025
97,0,-154.782,120.416,64.0514,219.111,104.299,14.9845,528.918,200.294,4.88473,788.758,212.189,15.9759
98,0,-154.728,120.378,64.1451,219.089,104.271,15.1361,528.921,200.341,4.8084,788.759,212.188,15.9637
99,0,-154.759,120.377,64.176,219.136,104.243,15.0132,528.914,200.341,4.81537,788.76,212.19,15.9623
100,0,-154.736,120.349,64.1468,219.172,104.239,15.0051,528.902,200.354,4.76095,788.759,212.19,15.9639
101,0,-154.734,120.349,64.1374,219.154,104.204,15.0535,528.904,200.357,4.74426,788.747,212.216,15.8592
102,0,-154.739,120.296,64.115,219.143,104.224,15.0846,528.905,200.356,4.74698,788.763,212.191,15.8314
103,0,-154.744,120.273,64.1441,219.128,104.155,15.0902,528.904,200.355,4.75,788.751,212.219,15.8321
104,0,-154.756,120.198,64.1578,219.125,104.148,15.0936,528.889,200.277,4.74695,788.75,212.22,15.8361
105,0,-154.763,120.17,64.1428,219.127,104.15,15.09,528.871,200.281,4.71595,788.749,212.233,15.7914
106,0,-154.767,120.123,64.1614,219.113,104.079,15.0893,528.858,200.279,4.6083,788.74,212.248,15.7146
107,0,-154.772,120.067,64.145,219.108,104.071,15.1006,528.844,200.227,4.5803,788.742,212.251,15.6965
108,0,-154.81,120.034,64.0782,219.106,104.072,15.1052,528.845,200.2,4.58987,788.742,212.25,15.7037
109,0,-154.836,119.971,64.0136,219.091,103.998,15.1076,528.832,200.163,4.62073,788.741,212.249,15.7098
110,0,-154.843,119.943,63.9914,219.104,104.019,14.9795,528.828,200.139,4.59769,788.742,212.231,15.6652
111,0,-154.88,119.883,63.9253,219.123,103.964,14.8854,528.828,200.141,4.58881,788.743,212.25,15.6944
112,0,-154.885,119.829,63.8937,219.129,103.961,14.8686,528.786,200.086,4.48364,788.732,212.244,15.6095
113,0,-154.897,119.781,63.9056,219.107,103.887,14.8916,528.807,200.079,4.49117,788.67,212.254,15.6013
114,0,-154.908,119.705,63.9209,219.086,103.834,14.9139,528.789,200.085,4.47331,788.66,212.198,15.6898
115,0,-154.921,119.671,63.7589,219.073,103.8,14.941,528.784,200.066,4.4379,788.648,212.185,15.6232
116,0,-154.932,119.628,63.7346,219.079,103.783,14.8018,528.774,200.008,4.4583,788.65,212.209,15.6289
117,0,-154.931,119.599,63.7417,219.1,103.724,14.6995,528.772,200.004,4.4705,788.666,212.251,15.6226
118,0,-154.976,119.553,63.7672,219.101,103.683,14.6668,528.756,199.948,4.46457,788.667,212.253,15.6172
119,0,-154.951,119.496,63.74,219.079,103.605,14.6866,528.756,199.902,4.43333,788.656,212.265,15.5616
120,0,-154.981,119.498,63.7426,219.065,103.596,14.722,528.744,199.866,4.45128,788.658,212.268,15.543
121,0,-154.962,119.449,63.7496,219.045,103.523,14.7409,528.74,199.843,4.43089,788.658,212.268,15.5461
122,0,-154.993,119.449,63.7604,219.05,103.501,14.6004,528.727,199.765,4.41862,788.672,212.323,15.4829
123,0,-154.968,119.394,63.7304,219.007,103.481,14.5815,528.729,199.696,4.44765,788.676,212.328,15.4578
124,0,-154.966,119.393,63.7236,219.053,103.436,14.5439,528.731,199.67,4.45837,788.686,212.314,15.5173
125,0,-154.979,119.347,63.7361,219.067,103.439,14.5132,528.766,199.621,4.37986,788.656,212.28,15.5063
126,0,-154.978,119.317,63.7345,219.07,103.442,14.5045,528.772,199.601,4.35801,788.659,212.249,15.497
127,0,-155.043,119.307,63.6521,219.059,103.408,14.5255,528.774,199.534,4.39003,788.659,212.262,15.4465
128,0,-155.05,119.289,63.6639,219.059,103.435,14.5334,528.775,199.507,4.40467,788.656,212.194,15.5287
129,0,-155.048,119.26,63.6696,219.053,103.407,14.5417,528.751,199.518,4.34111,788.716,212.174,15.451
130,0,-155.048,119.26,63.6681,219.05,103.403,14.5501,528.759,199.455,4.3806,788.708,212.138,15.4231
131,0,-155.055,119.234,63.6521,219.042,103.362,14.5404,528.759,199.448,4.4005,788.705,212.136,15.4299
132,0,-155.055,119.233,63.6476,219.058,103.434,14.5324,528.759,199.449,4.39969,788.695,212.131,15.3348
133,0,-155.055,119.233,63.6499,219.066,103.442,14.5161,528.74,199.459,4.36382,788.698,212.154,15.346
134,0,-155.048,119.26,63.6675,219.067,103.441,14.5109,528.756,199.432,4.35706,788.696,212.152,15.3653
135,0,-155.048,119.26,63.6704,219.066,103.44,14.5139,528.76,199.45,4.39093,788.711,212.193,15.3524
136,0,-155.044,119.308,63.6461,219.064,103.44,14.5181,528.74,199.458,4.36761,788.713,212.196,15.3417
137,0,-155.037,119.337,63.6559,219.064,103.439,14.5202,528.753,199.496,4.33286,788.713,212.195,15.3413
138,0,-155,119.396,63.7289,219.064,103.439,14.5202,528.753,199.522,4.32432,788.713,212.195,15.3431
139,0,-155,119.396,63.7424,219.055,103.445,14.643,528.754,199.543,4.35772,788.71,212.226,15.3442
140,0,-154.962,119.447,63.75,219.033,103.474,14.7393,528.768,199.621,4.37089,788.728,212.256,15.3699
141,0,-154.982,119.525,63.7527,219.024,103.472,14.7643,528.785,199.681,4.37212,788.726,212.274,15.3532
142,0,-154.997,119.547,63.834,219.037,103.505,14.7346,528.789,199.703,4.39981,788.726,212.294,15.3888
143,0,-154.986,119.619,63.8451,219.058,103.555,14.7099,528.797,199.761,4.38295,788.741,212.334,15.3851
144,0,-154.948,119.654,63.8994,219.063,103.559,14.6966,528.803,199.785,4.40183,788.742,212.337,15.3758
145,0,-154.941,119.706,63.9321,219.141,103.604,14.6396,528.812,199.843,4.38483,788.74,212.372,15.3957
146,0,-154.93,119.755,63.9202,219.102,103.643,14.6395,528.814,199.846,4.37467,788.755,212.414,15.3844
147,0,-154.931,119.784,63.9192,219.075,103.654,14.8265,528.826,199.849,4.47417,788.755,212.43,15.3279
148,0,-154.919,119.831,63.9076,219.031,103.634,14.9555,528.823,199.846,4.5002,788.823,212.426,15.2832
149,0,-154.913,119.886,63.9267,219.017,103.627,14.9893,528.824,199.846,4.49531,788.827,212.426,15.2754
150,0,-154.913,119.887,63.9313,219.058,103.73,14.8229,528.824,199.848,4.49162,788.824,212.426,15.282
151,0,-154.902,119.96,63.9242,219.094,103.734,14.8161,528.825,199.847,4.49013,788.824,212.425,15.2855
