Trajectories
200
,,,,,,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
51,0,762.241,291.496,-47.3286,501.854,232.51,-49.0019,176.154,74.9782,26.3303,-92.0673,79.7686,24.1867
52,0,762.427,291.74,-48.4529,501.95,232.641,-49.0341,176.175,74.9767,26.3423,-92.0638,79.6693,24.1085
53,0,762.607,292,-49.5731,502.136,232.768,-49.0485,176.229,74.9541,26.2648,-92.0425,79.5897,24.0942
54,0,762.793,292.319,-50.7125,502.271,232.932,-49.038,176.234,74.9542,26.2428,-92.0532,79.5118,24.1051
55,0,762.962,292.581,-51.7751,502.41,233.074,-48.9378,176.319,74.9103,26.2505,-92.0732,79.4086,24.1003
56,0,763.157,292.881,-52.8439,502.564,233.245,-49.0351,176.314,74.8825,26.2854,-92.1099,79.3428,24.0297
57,0,763.28,293.19,-53.8542,502.711,233.394,-48.9779,176.365,74.8582,26.2128,-92.1066,79.2727,23.9381
58,0,763.407,293.499,-54.8542,502.797,233.524,-48.9884,176.39,74.8461,26.2611,-92.1129,79.2213,23.904
59,0,763.526,293.806,-55.8462,502.95,233.676,-48.952,176.447,74.7915,26.1943,-92.1326,79.1192,23.8973
60,0,763.64,294.151,-56.8652,503.058,233.84,-48.9871,176.452,74.7904,26.1709,-92.1695,79.0524,23.8316
61,0,763.696,294.45,-57.791,503.175,233.996,-48.9376,176.441,74.7662,26.2025,-92.1815,78.9771,23.8222
62,0,763.79,294.805,-58.8374,503.289,234.123,-48.887,176.46,74.71,26.1982,-92.2318,78.8762,23.8205
63,0,763.847,295.128,-59.798,503.372,234.321,-48.9275,176.49,74.6849,26.1523,-92.2466,78.8144,23.6789
64,0,763.959,295.451,-60.7835,503.439,234.49,-48.8104,176.485,74.6629,26.1192,-92.253,78.7919,23.6326
65,0,764.017,295.844,-61.8038,503.541,234.628,-48.8103,176.488,74.6338,26.1106,-92.2646,78.7155,23.6425
66,0,764.067,296.185,-62.7608,503.624,234.827,-48.7151,176.481,74.6095,26.0913,-92.3013,78.6486,23.5817
67,0,764.054,296.582,-63.6978,503.71,234.987,-48.6972,176.472,74.5839,26.1169,-92.3411,78.6005,23.5474
68,0,764.071,296.949,-64.7331,503.82,235.156,-48.7111,176.476,74.5537,26.1199,-92.3785,78.5625,23.4844
69,0,764.145,297.312,-65.7618,503.903,235.356,-48.6052,176.469,74.5297,26.0958,-92.4449,78.4853,23.5544
70,0,764.104,297.687,-66.8011,503.981,235.511,-48.6467,176.445,74.5323,26.0778,-92.455,78.4297,23.5575
71,0,764.155,298.084,-67.8288,504.018,235.704,-48.6396,176.408,74.5304,26.1464,-92.4904,78.3922,23.4881
72,0,764.132,298.407,-68.7967,504.111,235.917,-48.7328,176.383,74.5433,26.0969,-92.5224,78.37,23.4664
73,0,764.146,298.807,-69.9082,504.196,236.076,-48.6725,176.385,74.5457,26.0751,-92.5604,78.3326,23.4092
74,0,764.175,299.184,-71.1102,504.269,236.288,-48.7595,176.386,74.5453,26.0756,-92.5914,78.3089,23.3916
75,0,764.159,299.592,-72.1527,504.295,236.509,-48.8491,176.354,74.5241,26.0453,-92.6229,78.2789,23.4534
76,0,764.113,299.945,-73.2157,504.328,236.703,-48.8297,176.361,74.5471,26.0602,-92.6848,78.2675,23.426
77,0,764.132,300.334,-74.3437,504.385,236.869,-48.9187,176.325,74.5452,26.1365,-92.6936,78.2434,23.3965
78,0,764.033,300.666,-75.3144,504.341,237.08,-48.939,176.342,74.5293,26.2257,-92.741,78.2833,23.3345
79,0,763.977,301.054,-76.334,504.351,237.336,-49.0257,176.338,74.5567,26.245,-92.7513,78.262,23.3105
80,0,763.872,301.383,-77.2841,504.355,237.536,-49.1528,176.318,74.6044,26.3001,-92.7506,78.2601,23.3129
81,0,763.821,301.736,-78.2888,504.37,237.769,-49.2995,176.297,74.6323,26.3215,-92.8044,78.2579,23.3896
82,0,763.718,302.061,-79.3424,504.341,237.999,-49.3325,176.309,74.6548,26.2887,-92.8322,78.2691,23.333
83,0,763.641,302.371,-80.4014,504.312,238.204,-49.4622,176.276,74.7069,26.3749,-92.8552,78.2995,23.3269
84,0,763.549,302.682,-81.2954,504.331,238.464,-49.5834,176.309,74.7404,26.4611,-92.879,78.2958,23.4055
85,0,763.412,302.975,-82.2354,504.259,238.64,-49.693,176.27,74.7663,26.5473,-92.9115,78.296,23.4264
86,0,763.361,303.233,-83.1622,504.272,238.874,-49.789,176.259,74.8163,26.5432,-92.9085,78.3214,23.396
87,0,763.236,303.49,-84.1024,504.275,239.074,-49.9073,176.237,74.8932,26.5986,-92.9229,78.3702,23.4815
88,0,763.089,303.783,-85.1122,504.252,239.237,-50.0885,176.245,74.9726,26.612,-92.9559,78.3722,23.5056
89,0,762.961,304.067,-86.0377,504.254,239.415,-50.2182,176.264,75.022,26.5987,-92.9684,78.4436,23.5714
90,0,762.909,304.302,-86.9848,504.254,239.587,-50.3615,176.207,75.076,26.68,-93.0254,78.4605,23.5094
91,0,762.765,304.535,-87.9821,504.282,239.731,-50.6379,176.212,75.154,26.7029,-93.0147,78.5376,23.4834
92,0,762.634,304.797,-88.8882,504.274,239.851,-50.7954,176.246,75.2203,26.7634,-93.0366,78.5359,23.5565
93,0,762.5,305.055,-89.7662,504.275,240.002,-51.0891,176.235,75.2882,26.8572,-93.0053,78.5709,23.6739
94,0,762.381,305.317,-90.6076,504.281,240.161,-51.2747,176.236,75.3429,26.8511,-92.9934,78.6212,23.6797
95,0,762.326,305.572,-91.5126,504.258,240.293,-51.4601,176.257,75.4458,26.8554,-93.0365,78.6982,23.7379
96,0,762.201,305.831,-92.4655,504.233,240.431,-51.6763,176.292,75.5114,26.9252,-93.0315,78.7505,23.7714
97,0,762.068,306.113,-93.4382,504.19,240.557,-51.9093,176.266,75.5862,27.0099,-93.0423,78.8228,23.8415
98,0,761.987,306.306,-94.3715,504.161,240.763,-52.144,176.286,75.6583,27.0364,-93.0548,78.9008,23.8567
99,0,761.871,306.548,-95.2094,504.141,240.901,-52.35,176.345,75.7205,27.1114,-93.0667,78.9747,23.9202
100,0,761.763,306.774,-95.917,504.142,241.061,-52.6817,176.368,75.8217,27.096,-93.0527,79.0519,23.969
101,0,761.685,306.958,-96.8064,504.053,241.202,-52.875,176.409,75.9117,27.171,-93.0953,79.1275,24.0429
102,0,761.577,307.164,-97.6437,504.04,241.368,-53.0759,176.392,76.0101,27.2803,-93.0787,79.2295,24.0637
103,0,761.435,307.382,-98.4566,503.987,241.563,-53.3718,176.426,76.099,27.3911,-93.0639,79.2915,24.2019
104,0,761.363,307.515,-99.2259,503.936,241.731,-53.7032,176.477,76.2518,27.4153,-93.0762,79.4183,24.2491
105,0,761.276,307.678,-99.9078,503.907,241.916,-53.9835,176.496,76.304,27.3954,-93.0812,79.5197,24.3261
106,0,761.228,307.816,-100.522,503.863,242.063,-54.2249,176.532,76.4205,27.4842,-93.0666,79.6212,24.3066
107,0,761.103,307.93,-101.136,503.865,242.194,-54.5704,176.549,76.5244,27.5312,-93.0703,79.722,24.3759
108,0,760.972,308.067,-101.716,503.776,242.288,-54.7868,176.599,76.6363,27.5923,-93.0351,79.7859,24.4631
109,0,760.922,308.199,-102.431,503.773,242.415,-55.1134,176.603,76.7648,27.7078,-93.0463,79.915,24.4935
110,0,760.82,308.31,-102.934,503.734,242.521,-55.4083,176.674,76.8573,27.7517,-93.0517,80.0162,24.5722
111,0,760.743,308.393,-103.479,503.664,242.633,-55.7104,176.672,76.9789,27.8051,-93.0409,80.0925,24.5814
112,0,760.729,308.435,-103.949,503.626,242.707,-55.934,176.711,77.0818,27.8449,-93.0192,80.1784,24.7318
113,0,760.68,308.543,-104.461,503.586,242.762,-56.1472,176.746,77.1461,27.9159,-93.0005,80.2783,24.7739
114,0,760.646,308.525,-104.835,503.525,242.824,-56.3838,176.796,77.2548,27.9896,-93.012,80.3531,24.8341
115,0,760.62,308.594,-105.218,503.466,242.913,-56.5968,176.84,77.3569,28.029,-92.9689,80.4419,24.9269
116,0,760.583,308.594,-105.53,503.499,242.971,-56.861,176.872,77.4231,28.0981,-92.9841,80.5723,24.9182
117,0,760.54,308.581,-105.861,503.395,243.024,-57.0363,176.935,77.5072,28.2128,-92.9582,80.6715,24.9854
118,0,760.534,308.602,-106.132,503.405,243.061,-57.2664,176.947,77.5854,28.2303,-92.9675,80.7577,25.1607
119,0,760.492,308.594,-106.355,503.374,243.113,-57.4821,177.011,77.6725,28.3223,-92.9505,80.8574,25.2024
120,0,760.513,308.574,-106.748,503.342,243.122,-57.6452,177.025,77.749,28.3383,-92.9283,80.9448,25.3485
121,0,760.513,308.524,-106.913,503.336,243.12,-57.7222,177.035,77.8305,28.3316,-92.917,81.0452,25.3787
122,0,760.477,308.489,-107.038,503.376,243.122,-57.9012,177.064,77.9137,28.4976,-92.9209,81.1452,25.4511
123,0,760.512,308.433,-107.297,503.344,243.079,-57.9846,177.072,77.9905,28.5396,-92.8783,81.2351,25.5478
124,0,760.508,308.376,-107.374,503.384,243.084,-58.1213,177.092,78.0375,28.5172,-92.8657,81.3113,25.5559
125,0,760.567,308.304,-107.465,503.388,243.064,-58.1819,177.127,78.101,28.575,-92.8698,81.4103,25.6294
126,0,760.625,308.193,-107.538,503.421,243.013,-58.2659,177.138,78.1794,28.5906,-92.8698,81.4265,25.7349
127,0,760.693,308.082,-107.681,503.423,242.968,-58.3039,177.146,78.205,28.6084,-92.8494,81.4919,25.8181
128,0,760.703,307.943,-107.638,503.458,242.942,-58.3587,177.158,78.2815,28.6101,-92.8384,81.5702,25.8194
129,0,760.759,307.846,-107.632,503.534,242.897,-58.4383,177.188,78.3081,28.6419,-92.7977,81.6364,25.9199
130,0,760.81,307.675,-107.622,503.525,242.843,-58.4229,177.215,78.3454,28.6971,-92.7933,81.6601,25.9156
131,0,760.854,307.539,-107.631,503.577,242.751,-58.4905,177.221,78.3697,28.7286,-92.7815,81.7364,25.9007
132,0,761.003,307.407,-107.672,503.649,242.652,-58.4867,177.232,78.3916,28.6984,-92.7736,81.7904,25.9182
133,0,761.074,307.22,-107.621,503.658,242.601,-58.4188,177.279,78.4319,28.7947,-92.7649,81.7992,26.084
134,0,761.18,307.074,-107.62,503.712,242.547,-58.4335,177.278,78.4308,28.825,-92.7622,81.846,26.1015
135,0,761.262,306.872,-107.513,503.725,242.455,-58.4139,177.242,78.4267,28.8895,-92.7534,81.8735,26.1019
136,0,761.304,306.691,-107.409,503.788,242.372,-58.3871,177.281,78.4533,28.8575,-92.6974,81.8592,26.1704
137,0,761.445,306.476,-107.284,503.873,242.276,-58.3948,177.307,78.4405,28.9093,-92.6921,81.9076,26.1675
138,0,761.509,306.264,-107.075,503.943,242.176,-58.3766,177.329,78.4357,28.9349,-92.6852,81.9357,26.1721
139,0,761.626,306.1,-107.001,503.96,242.062,-58.267,177.329,78.4365,28.9376,-92.6851,81.9357,26.1734
140,0,761.745,305.906,-106.797,504.044,241.965,-58.1851,177.366,78.4553,28.9139,-92.6734,81.9851,26.1615
141,0,761.882,305.668,-106.517,504.1,241.807,-58.1259,177.379,78.4195,29.0084,-92.6477,82.0001,26.2412
142,0,761.937,305.488,-106.354,504.165,241.723,-58.1001,177.411,78.4188,28.969,-92.6474,81.9977,26.2609
143,0,762.078,305.275,-106.238,504.243,241.576,-58.0214,177.407,78.3975,28.9205,-92.6478,81.9978,26.2566
144,0,762.223,305.082,-106.083,504.284,241.427,-57.8569,177.439,78.3622,28.9187,-92.6477,81.9982,26.2533
145,0,762.316,304.819,-105.805,504.336,241.311,-57.8974,177.428,78.3389,28.9527,-92.6477,81.9982,26.253
146,0,762.449,304.591,-105.63,504.418,241.168,-57.8497,177.455,78.3177,28.8755,-92.6484,81.9989,26.2514
