Trajectories
200
,,,,,,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
52,0,-111.375,69.6469,34.1595,192.663,42.2562,41.2282,499.342,149.616,-18.076,741.041,188.171,-30.6344
53,0,-111.307,69.7106,34.2227,192.662,42.257,41.2257,499.341,149.615,-18.0799,741.044,188.174,-30.6561
54,0,-111.298,69.7608,34.2584,192.663,42.2563,41.2274,499.341,149.615,-18.0762,741.029,188.111,-30.674
55,0,-111.239,69.8021,34.2476,192.64,42.2569,41.2146,499.338,149.593,-18.1039,741.013,188.121,-30.7239
56,0,-111.203,69.8526,34.2195,192.639,42.2574,41.2118,499.308,149.614,-18.2114,741.015,188.124,-30.7373
57,0,-111.186,69.9292,34.2486,192.656,42.2074,41.1956,499.329,149.54,-18.1114,741,188.045,-30.74
58,0,-111.184,69.9556,34.2309,192.635,42.2265,41.2362,499.327,149.531,-18.0683,741.014,188.028,-30.6821
59,0,-111.176,70.0065,34.2458,192.648,42.1789,41.2314,499.343,149.538,-18.2746,740.996,188.055,-30.7767
60,0,-111.173,70.0327,34.224,192.651,42.1759,41.2257,499.371,149.538,-18.3054,741,188.06,-30.8149
61,0,-111.165,70.0841,34.2393,192.651,42.1772,41.2247,499.37,149.535,-18.2864,741.001,188.06,-30.8124
62,0,-111.162,70.1104,34.218,192.65,42.1773,41.2251,499.348,149.542,-18.3079,741,188.059,-30.8055
63,0,-111.184,70.137,34.2278,192.651,42.1764,41.2281,499.368,149.535,-18.2845,740.984,187.996,-30.8261
64,0,-111.156,70.1624,34.2401,192.671,42.1639,41.2956,499.348,149.542,-18.308,740.984,187.994,-30.8307
65,0,-111.146,70.1866,34.2541,192.671,42.162,41.3112,499.348,149.543,-18.3161,740.983,188.009,-30.8906
66,0,-111.142,70.2117,34.2271,192.67,42.1626,41.307,499.349,149.521,-18.3151,740.971,188.025,-30.9601
67,0,-111.116,70.2003,34.2939,192.627,42.1341,41.4043,499.358,149.477,-18.2567,740.973,188.003,-31.0141
68,0,-111.115,70.1972,34.312,192.623,42.1313,41.4297,499.352,149.473,-18.2697,740.975,187.986,-31.0006
69,0,-111.116,70.2247,34.3178,192.624,42.1321,41.4236,499.364,149.439,-18.2122,740.973,187.984,-30.988
