0.4319066/0.1144745/1.646693/0.2665305/0.2298577/1.752339/0.05232993/0.3696684/1.697662/-0.2844389/0.3637705/1.697094/140.2469/144.5629;
0.4366235/0.1292906/1.652348/0.2703411/0.2405056/1.761118/0.05233312/0.3765757/1.708445/-0.2829151/0.3707695/1.706496/139.8449/145.5403;
0.4564181/0.1723787/1.677511/0.2759944/0.2634723/1.780135/0.05475617/0.3911035/1.731616/-0.2803114/0.3856684/1.728103/142.1977/149.6609;
0.4564181/0.1723787/1.677511/0.2759944/0.2634723/1.780135/0.05475617/0.3911035/1.731616/-0.2803114/0.3856684/1.728103/142.1977/149.6609;
0.4564181/0.1723787/1.677511/0.2759944/0.2634723/1.780135/0.05475617/0.3911035/1.731616/-0.2803114/0.3856684/1.728103/142.1977/149.6609;
0.4575822/0.1935826/1.694676/0.278867/0.282977/1.800416/0.05691349/0.4022432/1.751924/-0.2793964/0.398254/1.747844/141.1866/150.7868;
0.4722261/0.2214802/1.710587/0.2907796/0.2977831/1.821727/0.06183892/0.4233052/1.788609/-0.2781962/0.4083238/1.768791/142.8799/148.5758;
0.4722261/0.2214802/1.710587/0.2907796/0.2977831/1.821727/0.06183892/0.4233052/1.788609/-0.2781962/0.4083238/1.768791/142.8799/148.5758;
0.4722261/0.2214802/1.710587/0.2907796/0.2977831/1.821727/0.06183892/0.4233052/1.788609/-0.2781962/0.4083238/1.768791/142.8799/148.5758;
0.4811516/0.2472779/1.731221/0.2963639/0.3154591/1.841969/0.06234556/0.4280772/1.799725/-0.2765014/0.4172754/1.786715/141.0579/152.7001;
0.4811516/0.2472779/1.731221/0.2963639/0.3154591/1.841969/0.06234556/0.4280772/1.799725/-0.2765014/0.4172754/1.786715/141.0579/152.7001;
0.495938/0.2816261/1.760294/0.3022168/0.3304044/1.864709/0.06515142/0.4385085/1.828675/-0.276117/0.4250899/1.808248/143.1355/154.8091;
0.5036961/0.3012975/1.779059/0.3096394/0.3419939/1.886337/0.06815378/0.4437708/1.844754/-0.275434/0.4311112/1.830532/141.086/157.2489;
0.5036961/0.3012975/1.779059/0.3096394/0.3419939/1.886337/0.06815378/0.4437708/1.844754/-0.275434/0.4311112/1.830532/141.086/157.2489;
0.513117/0.327605/1.814135/0.3099315/0.3540457/1.906183/0.06812667/0.4437954/1.844624/-0.2731918/0.4360728/1.851784/140.315/163.8772;
0.513117/0.327605/1.814135/0.3099315/0.3540457/1.906183/0.06812667/0.4437954/1.844624/-0.2731918/0.4360728/1.851784/140.315/163.8772;
0.513117/0.327605/1.814135/0.3099315/0.3540457/1.906183/0.06812667/0.4437954/1.844624/-0.2731918/0.4360728/1.851784/140.315/163.8772;
0.5169713/0.3424762/1.840611/0.3112056/0.364414/1.928491/0.07250905/0.448323/1.877147/-0.2727554/0.4412501/1.869854/143.1474/164.3375;
0.5261126/0.361627/1.870178/0.3155058/0.3759888/1.947505/0.07355679/0.4490109/1.884692/-0.2701989/0.4478149/1.883964/143.6411/168.7084;
0.5261126/0.361627/1.870178/0.3155058/0.3759888/1.947505/0.07355679/0.4490109/1.884692/-0.2701989/0.4478149/1.883964/143.6411/168.7084;
0.5261126/0.361627/1.870178/0.3155058/0.3759888/1.947505/0.07355679/0.4490109/1.884692/-0.2701989/0.4478149/1.883964/143.6411/168.7084;
0.5230125/0.3748229/1.893789/0.3108084/0.3852871/1.96747/0.0732139/0.4373747/1.895804/-0.2692454/0.4518084/1.902022/143.2389/174.441;
0.5230125/0.3748229/1.893789/0.3108084/0.3852871/1.96747/0.0732139/0.4373747/1.895804/-0.2692454/0.4518084/1.902022/143.2389/174.441;
0.5287725/0.3868271/1.915593/0.3130675/0.3924686/1.977402/0.073692/0.4296219/1.902999/-0.268196/0.4537984/1.908633/146.1625/177.1519;
0.5287725/0.3868271/1.915593/0.3130675/0.3924686/1.977402/0.073692/0.4296219/1.902999/-0.268196/0.4537984/1.908633/146.1625/177.1519;
